reaction_cold,,,,
ECFP,MSE,PCC,R2,MAE
1,0.694,0.729,0.528,0.583
2,0.785,0.688,0.466,0.631
3,0.733,0.713,0.502,0.624
4,0.775,0.689,0.473,0.624
5,0.694,0.727,0.528,0.581
avr,0.7362,0.7092,0.4994,0.6086
,,,,
MACCSKeys,MSE,PCC,R2,MAE
1,0.612,0.766,0.584,0.548
2,0.698,0.727,0.525,0.594
3,0.702,0.725,0.523,0.585
4,0.696,0.726,0.526,0.588
5,0.694,0.727,0.528,0.581
avr,0.6804,0.7342,0.5372,0.5792
,,,,
RDKIT,MSE,PCC,R2,MAE
1,0.641,0.754,0.564,0.563
2,0.677,0.736,0.54,0.587
3,0.691,0.73,0.53,0.595
4,0.695,0.728,0.527,0.589
5,0.735,0.708,0.5,0.606
avr,0.6878,0.7312,0.5322,0.588
,,,,
SMILES-Transformer,MSE,PCC,R2,MAE
1,0.609,0.766,0.586,0.553
2,0.698,0.728,0.525,0.589
3,0.679,0.735,0.538,0.575
4,0.722,0.717,0.509,0.6
5,0.715,0.719,0.514,0.588
avr,0.6846,0.733,0.5344,0.581
,,,,
UniMol,MSE,PCC,R2,MAE
1,0.678,0.736,0.539,0.579
2,0.71,0.721,0.517,0.597
3,0.689,0.73,0.531,0.584
4,0.67,0.74,0.544,0.578
5,0.709,0.722,0.517,0.59
avr,0.6912,0.7298,0.5296,0.5856
,,,,
PMAK,MSE,PCC,R2,MAE
1,0.604,0.768,0.589,0.548
2,0.674,0.742,0.542,0.58
3,0.693,0.728,0.529,0.592
4,0.693,0.732,0.529,0.593
5,0.699,0.727,0.525,0.594
avr,0.6726,0.7394,0.5428,0.5814
